entry	name	body	comment	decompilation_status
00002532	FUN_00002532	[[00002532, 000025b7] [000025fa, 00002637]]		completed
00002638	FUN_00002638	[[00002638, 000026cf]]		completed
000026d0	FUN_000026d0	[[000026d0, 00002881]]		completed
00003040	FUN_00003040	[[00003040, 00003055]]		completed
0000310a	FUN_0000310a	[[0000310a, 00003117]]		completed
00003118	FUN_00003118	[[00003118, 0000313f]]		completed
00003140	FUN_00003140	[[00003140, 00003147]]		completed
00003148	FUN_00003148	[[00003148, 00003149] [0000314b, 00003165]]		completed
00003166	FUN_00003166	[[00003166, 000031a9]]		completed
000031aa	FUN_000031aa	[[000031aa, 000031db]]		completed
000031dc	FUN_000031dc	[[000031dc, 00003225]]		completed
00003226	FUN_00003226	[[00003226, 00003299]]		completed
0000329a	FUN_0000329a	[[0000329a, 00003369]]		completed
0000336a	FUN_0000336a	[[0000336a, 0000337d] [0000338e, 00003393]]		completed
00003394	FUN_00003394	[[00003394, 00003491]]		completed
00003492	FUN_00003492	[[00003492, 000034c1] [000034c4, 00003509]]		completed
0000350a	FUN_0000350a	[[0000350a, 0000351f]]		completed
00003520	FUN_00003520	[[00003520, 00003579]]		completed
00003596	FUN_00003596	[[00003596, 00003597]]		completed
00003598	FUN_00003598	[[00003598, 000035a7]]		completed
000035a8	FUN_000035a8	[[000035a8, 000035df]]		completed
00003602	FUN_00003602	[[00003602, 00003623]]		completed
