entry	name	body	comment	decompilation_status
00002628	FUN_00002628	[[00002628, 000026ad] [000026f0, 0000272d]]		completed
0000272e	FUN_0000272e	[[0000272e, 000027c5]]		completed
000027c6	FUN_000027c6	[[000027c6, 00002977]]		completed
00003160	FUN_00003160	[[00003160, 00003175]]		completed
0000322a	FUN_0000322a	[[0000322a, 00003237]]		completed
00003238	FUN_00003238	[[00003238, 0000325f]]		completed
00003260	FUN_00003260	[[00003260, 00003267]]		completed
00003268	FUN_00003268	[[00003268, 00003269] [0000326b, 00003285]]		completed
00003286	FUN_00003286	[[00003286, 000032c9]]		completed
000032ca	FUN_000032ca	[[000032ca, 000032fb]]		completed
000032fc	FUN_000032fc	[[000032fc, 00003345]]		completed
00003346	FUN_00003346	[[00003346, 000033b9]]		completed
000033ba	FUN_000033ba	[[000033ba, 00003489]]		completed
0000348a	FUN_0000348a	[[0000348a, 0000349d] [000034ae, 000034b3]]		completed
000034b4	FUN_000034b4	[[000034b4, 000035b1]]		completed
000035b2	FUN_000035b2	[[000035b2, 000035e1] [000035e4, 00003629]]		completed
0000362a	FUN_0000362a	[[0000362a, 0000363f]]		completed
00003640	FUN_00003640	[[00003640, 00003699]]		completed
000036b6	FUN_000036b6	[[000036b6, 000036b7]]		completed
000036b8	FUN_000036b8	[[000036b8, 000036c7]]		completed
000036c8	FUN_000036c8	[[000036c8, 000036ff]]		completed
00003722	FUN_00003722	[[00003722, 00003743]]		completed
